TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Toilet_Inside,Toilet_Inside_Flush_Sewer,Toilet_Inside_Flush_Septic,Toilet_Inside_Flush_Other,Toilet_Inside_Pit_Ventilated,Toilet_Inside_Pit_Open,Toilet_Inside_Open_Drain,Toilet_Inside_Manual,Toilet_Inside_Pig,Toilet_Outside,Toilet_Public,Toilet_None
HH2808,27,500,03978,802664,Nandura (M Cl + OG),Urban," 8,712 "," 5,653 ", 185 ," 4,724 ", 206 , 461 , 41 , 3 , -   , 33 ," 3,059 ", 397 ," 2,662 "
HH2808,27,500,03979,000000,Sub-District - Malkapur,Total," 37,993 "," 21,113 ", 947 ," 11,790 "," 1,400 "," 6,667 ", 46 , 54 , 196 , 13 ," 16,880 "," 1,901 "," 14,979 "
HH2808,27,500,03979,000000,Sub-District - Malkapur,Rural," 25,282 "," 13,045 ", 504 ," 5,146 "," 1,131 "," 6,189 ", 34 , 38 , -   , 3 ," 12,237 ", 336 ," 11,901 "
HH2808,27,500,03979,000000,Sub-District - Malkapur,Urban," 12,711 "," 8,068 ", 443 ," 6,644 ", 269 , 478 , 12 , 16 , 196 , 10 ," 4,643 "," 1,565 "," 3,078 "
HH2808,27,500,03979,802665,Malkapur (M Cl),Urban," 12,711 "," 8,068 ", 443 ," 6,644 ", 269 , 478 , 12 , 16 , 196 , 10 ," 4,643 "," 1,565 "," 3,078 "
HH2808,27,500,03980,000000,Sub-District - Motala,Total," 36,937 "," 10,506 ", 253 ," 4,557 "," 1,362 "," 4,235 ", 69 , 26 , -   , 4 ," 26,431 ", 403 ," 26,028 "
HH2808,27,500,03980,000000,Sub-District - Motala,Rural," 36,937 "," 10,506 ", 253 ," 4,557 "," 1,362 "," 4,235 ", 69 , 26 , -   , 4 ," 26,431 ", 403 ," 26,028 "
HH2808,27,500,03980,000000,Sub-District - Motala,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,500,03981,000000,Sub-District - Khamgaon,Total," 68,310 "," 26,130 ", 614 ," 16,363 "," 1,151 "," 6,809 "," 1,107 ", 58 , -   , 28 ," 42,180 "," 4,364 "," 37,816 "
HH2808,27,500,03981,000000,Sub-District - Khamgaon,Rural," 50,499 "," 15,316 ", 320 ," 6,245 ", 920 ," 6,686 "," 1,079 ", 42 , -   , 24 ," 35,183 ", 617 ," 34,566 "
HH2808,27,500,03981,000000,Sub-District - Khamgaon,Urban," 17,811 "," 10,814 ", 294 ," 10,118 ", 231 , 123 , 28 , 16 , -   , 4 ," 6,997 "," 3,747 "," 3,250 "
HH2808,27,500,03981,802666,Khamgaon (M Cl),Urban," 17,811 "," 10,814 ", 294 ," 10,118 ", 231 , 123 , 28 , 16 , -   , 4 ," 6,997 "," 3,747 "," 3,250 "
HH2808,27,500,03982,000000,Sub-District - Mehkar,Total," 57,355 "," 15,427 ", 468 ," 9,469 "," 1,230 "," 3,930 ", 159 , 137 , 16 , 18 ," 41,928 "," 1,017 "," 40,911 "
HH2808,27,500,03982,000000,Sub-District - Mehkar,Rural," 48,502 "," 10,739 ", 300 ," 5,287 "," 1,070 "," 3,844 ", 126 , 83 , 16 , 13 ," 37,763 ", 702 ," 37,061 "
HH2808,27,500,03982,000000,Sub-District - Mehkar,Urban," 8,853 "," 4,688 ", 168 ," 4,182 ", 160 , 86 , 33 , 54 , -   , 5 ," 4,165 ", 315 ," 3,850 "
HH2808,27,500,03982,802667,Mehkar (M Cl),Urban," 8,853 "," 4,688 ", 168 ," 4,182 ", 160 , 86 , 33 , 54 , -   , 5 ," 4,165 ", 315 ," 3,850 "
HH2808,27,500,03983,000000,Sub-District - Chikhli,Total," 61,668 "," 17,838 ", 677 ," 12,256 ", 850 ," 3,819 ", 148 , 40 , -   , 48 ," 43,830 ", 674 ," 43,156 "
HH2808,27,500,03983,000000,Sub-District - Chikhli,Rural," 49,925 "," 9,896 ", 378 ," 4,867 ", 757 ," 3,714 ", 119 , 33 , -   , 28 ," 40,029 ", 175 ," 39,854 "
HH2808,27,500,03983,000000,Sub-District - Chikhli,Urban," 11,743 "," 7,942 ", 299 ," 7,389 ", 93 , 105 , 29 , 7 , -   , 20 ," 3,801 ", 499 ," 3,302 "
HH2808,27,500,03983,802668,Chikhli (M Cl),Urban," 11,743 "," 7,942 ", 299 ," 7,389 ", 93 , 105 , 29 , 7 , -   , 20 ," 3,801 ", 499 ," 3,302 "
HH2808,27,500,03984,000000,Sub-District - Buldana,Total," 59,459 "," 24,085 ", 982 ," 18,022 "," 1,024 "," 3,534 ", 393 , 37 , -   , 93 ," 35,374 "," 1,121 "," 34,253 "
HH2808,27,500,03984,000000,Sub-District - Buldana,Rural," 42,577 "," 11,725 ", 705 ," 6,345 ", 829 ," 3,469 ", 252 , 32 , -   , 93 ," 30,852 ", 669 ," 30,183 "
HH2808,27,500,03984,000000,Sub-District - Buldana,Urban," 16,882 "," 12,360 ", 277 ," 11,677 ", 195 , 65 , 141 , 5 , -   , -   ," 4,522 ", 452 ," 4,070 "
HH2808,27,500,03984,802669,Buldana (M Cl),Urban," 14,032 "," 10,002 ", 260 ," 9,347 ", 192 , 59 , 139 , 5 , -   , -   ," 4,030 ", 451 ," 3,579 "
HH2808,27,500,03984,529327,Sundarkhed (CT),Urban," 2,850 "," 2,358 ", 17 ," 2,330 ", 3 , 6 , 2 , -   , -   , -   , 492 , 1 , 491 
HH2808,27,500,03985,000000,Sub-District - Deolgaon Raja,Total," 25,706 "," 7,881 ", 319 ," 4,719 ", 315 ," 2,379 ", 33 , 92 , -   , 24 ," 17,825 ", 258 ," 17,567 "
HH2808,27,500,03985,000000,Sub-District - Deolgaon Raja,Rural," 19,838 "," 4,249 ", 184 ," 1,459 ", 237 ," 2,262 ", 30 , 56 , -   , 21 ," 15,589 ", 164 ," 15,425 "
HH2808,27,500,03985,000000,Sub-District - Deolgaon Raja,Urban," 5,868 "," 3,632 ", 135 ," 3,260 ", 78 , 117 , 3 , 36 , -   , 3 ," 2,236 ", 94 ," 2,142 "
HH2808,27,500,03985,802670,Deulgaon Raja (M Cl),Urban," 5,868 "," 3,632 ", 135 ," 3,260 ", 78 , 117 , 3 , 36 , -   , 3 ," 2,236 ", 94 ," 2,142 "
HH2808,27,500,03986,000000,Sub-District - Sindkhed Raja,Total," 37,963 "," 7,966 ", 204 ," 3,851 ", 350 ," 3,474 ", 42 , 38 , -   , 7 ," 29,997 ", 485 ," 29,512 "
HH2808,27,500,03986,000000,Sub-District - Sindkhed Raja,Rural," 34,575 "," 6,703 ", 160 ," 2,784 ", 325 ," 3,365 ", 42 , 20 , -   , 7 ," 27,872 ", 485 ," 27,387 "
HH2808,27,500,03986,000000,Sub-District - Sindkhed Raja,Urban," 3,388 "," 1,263 ", 44 ," 1,067 ", 25 , 109 , -   , 18 , -   , -   ," 2,125 ", -   ," 2,125 "
HH2808,27,500,03986,802671,Sindkhed Raja (M Cl),Urban," 3,388 "," 1,263 ", 44 ," 1,067 ", 25 , 109 , -   , 18 , -   , -   ," 2,125 ", -   ," 2,125 "
HH2808,27,500,03987,000000,Sub-District - Lonar,Total," 32,825 "," 7,245 ", 400 ," 3,925 ", 445 ," 2,374 ", 69 , 24 , -   , 8 ," 25,580 ", 347 ," 25,233 "
HH2808,27,500,03987,000000,Sub-District - Lonar,Rural," 28,275 "," 5,164 ", 240 ," 2,262 ", 372 ," 2,205 ", 57 , 21 , -   , 7 ," 23,111 ", 261 ," 22,850 "
HH2808,27,500,03987,000000,Sub-District - Lonar,Urban," 4,550 "," 2,081 ", 160 ," 1,663 ", 73 , 169 , 12 , 3 , -   , 1 ," 2,469 ", 86 ," 2,383 "
HH2808,27,500,03987,802672,Lonar (M Cl),Urban," 4,550 "," 2,081 ", 160 ," 1,663 ", 73 , 169 , 12 , 3 , -   , 1 ," 2,469 ", 86 ," 2,383 "
HH2808,27,501,00000,000000,District - Akola,Total," 391,135 "," 180,311 "," 10,906 "," 119,193 "," 9,561 "," 29,745 "," 6,031 "," 2,835 ", 699 ," 1,341 "," 210,824 "," 16,673 "," 194,151 "
HH2808,27,501,00000,000000,District - Akola,Rural," 247,752 "," 76,633 "," 4,097 "," 38,843 "," 6,148 "," 23,328 "," 3,440 ", 326 , 75 , 376 ," 171,119 "," 2,221 "," 168,898 "
HH2808,27,501,00000,000000,District - Akola,Urban," 143,383 "," 103,678 "," 6,809 "," 80,350 "," 3,413 "," 6,417 "," 2,591 "," 2,509 ", 624 , 965 ," 39,705 "," 14,452 "," 25,253 "
HH2808,27,501,03988,000000,Sub-District - Telhara,Total," 37,284 "," 15,091 ", 913 ," 8,164 ", 949 ," 3,939 "," 1,043 ", 40 , -   , 43 ," 22,193 ", 945 ," 21,248 "
HH2808,27,501,03988,000000,Sub-District - Telhara,Rural," 32,804 "," 12,338 ", 792 ," 5,590 ", 926 ," 3,912 "," 1,042 ", 33 , -   , 43 ," 20,466 ", 481 ," 19,985 "
HH2808,27,501,03988,000000,Sub-District - Telhara,Urban," 4,480 "," 2,753 ", 121 ," 2,574 ", 23 , 27 , 1 , 7 , -   , -   ," 1,727 ", 464 ," 1,263 "
HH2808,27,501,03988,802673,Telhara (M Cl),Urban," 4,480 "," 2,753 ", 121 ," 2,574 ", 23 , 27 , 1 , 7 , -   , -   ," 1,727 ", 464 ," 1,263 "
HH2808,27,501,03989,000000,Sub-District - Akot,Total," 54,887 "," 25,150 "," 1,262 "," 11,780 "," 1,515 "," 7,028 "," 1,581 ", 833 , 530 , 621 ," 29,737 "," 1,998 "," 27,739 "
HH2808,27,501,03989,000000,Sub-District - Akot,Rural," 36,826 "," 12,418 ", 727 ," 4,797 "," 1,021 "," 5,023 ", 720 , 33 , -   , 97 ," 24,408 ", 377 ," 24,031 "
HH2808,27,501,03989,000000,Sub-District - Akot,Urban," 18,061 "," 12,732 ", 535 ," 6,983 ", 494 ," 2,005 ", 861 , 800 , 530 , 524 ," 5,329 "," 1,621 "," 3,708 "
HH2808,27,501,03989,802674,Akot (M Cl),Urban," 18,061 "," 12,732 ", 535 ," 6,983 ", 494 ," 2,005 ", 861 , 800 , 530 , 524 ," 5,329 "," 1,621 "," 3,708 "
HH2808,27,501,03990,000000,Sub-District - Balapur,Total," 40,781 "," 16,343 ", 809 ," 6,907 "," 2,176 "," 5,048 "," 1,215 ", 78 , 46 , 64 ," 24,438 ", 342 ," 24,096 "
HH2808,27,501,03990,000000,Sub-District - Balapur,Rural," 33,084 "," 10,174 ", 706 ," 5,185 "," 1,047 "," 2,955 ", 162 , 39 , 46 , 34 ," 22,910 ", 191 ," 22,719 "
HH2808,27,501,03990,000000,Sub-District - Balapur,Urban," 7,697 "," 6,169 ", 103 ," 1,722 "," 1,129 "," 2,093 "," 1,053 ", 39 , -   , 30 ," 1,528 ", 151 ," 1,377 "
HH2808,27,501,03990,802675,Balapur (M Cl),Urban," 7,697 "," 6,169 ", 103 ," 1,722 "," 1,129 "," 2,093 "," 1,053 ", 39 , -   , 30 ," 1,528 ", 151 ," 1,377 "
HH2808,27,501,03991,000000,Sub-District - Akola,Total," 153,016 "," 89,478 "," 6,431 "," 73,566 "," 2,105 "," 4,072 ", 967 ," 1,748 ", 67 , 522 ," 63,538 "," 12,012 "," 51,526 "
HH2808,27,501,03991,000000,Sub-District - Akola,Rural," 51,911 "," 15,897 ", 637 ," 11,034 ", 695 ," 2,854 ", 402 , 130 , -   , 145 ," 36,014 ", 384 ," 35,630 "
HH2808,27,501,03991,000000,Sub-District - Akola,Urban," 101,105 "," 73,581 "," 5,794 "," 62,532 "," 1,410 "," 1,218 ", 565 ," 1,618 ", 67 , 377 ," 27,524 "," 11,628 "," 15,896 "
HH2808,27,501,03991,802676,Akola (M Corp.),Urban," 85,027 "," 63,084 "," 5,328 "," 52,874 "," 1,316 "," 1,060 ", 535 ," 1,601 ", 67 , 303 ," 21,943 "," 11,580 "," 10,363 "
HH2808,27,501,03991,530164,Umari Pr. Akola (CT),Urban," 1,271 ", 614 , 20 , 555 , 9 , 24 , -   , 6 , -   , -   , 657 , 7 , 650 
HH2808,27,501,03991,530165,Umri Pragane Balapur (CT),Urban," 4,535 "," 3,731 ", 103 ," 3,483 ", 34 , 89 , 20 , 2 , -   , -   , 804 , 28 , 776 
HH2808,27,501,03991,530166,Shivar (CT),Urban," 1,388 ", 771 , 135 , 558 , 6 , -   , 2 , 2 , -   , 68 , 617 , 9 , 608 
