TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Bank,Radio,TV,Computer_With_Internet,Computer_Without_Internet,Landline_Only,Mobile_Only,Landline_Mobile,Bicycle,Motorcycle,Car,With_All,With_None
HH4012,27,530,04284,567260,Wadi Ratnagiri (CT),Urban, 925 , 645 , 266 , 728 , 5 , 26 , 88 , 418 , 284 , 80 , 255 , 22 , 17 , 74 
HH4012,27,530,04285,000000,Sub-District - Hatkanangle,Total," 169,128 "," 103,046 "," 53,853 "," 115,512 "," 3,616 "," 8,657 "," 9,611 "," 97,394 "," 15,612 "," 101,856 "," 59,704 "," 9,275 "," 7,905 "," 15,813 "
HH4012,27,530,04285,000000,Sub-District - Hatkanangle,Rural," 84,385 "," 56,421 "," 25,153 "," 52,684 "," 1,139 "," 3,324 "," 5,713 "," 45,132 "," 6,884 "," 52,355 "," 28,189 "," 3,411 "," 2,268 "," 9,338 "
HH4012,27,530,04285,000000,Sub-District - Hatkanangle,Urban," 84,743 "," 46,625 "," 28,700 "," 62,828 "," 2,477 "," 5,333 "," 3,898 "," 52,262 "," 8,728 "," 49,501 "," 31,515 "," 5,864 "," 5,637 "," 6,475 "
HH4012,27,530,04285,802883,Vadgaon Kasba (M Cl),Urban," 5,280 "," 2,993 "," 1,671 "," 3,733 ", 153 , 379 , 153 ," 3,543 ", 390 ," 2,598 "," 1,995 ", 450 , 359 , 520 
HH4012,27,530,04285,802884,Ichalkaranji (M Cl),Urban," 60,889 "," 33,231 "," 20,888 "," 45,879 "," 1,999 "," 3,986 "," 2,952 "," 37,498 "," 6,957 "," 35,562 "," 23,159 "," 4,243 "," 4,502 "," 4,408 "
HH4012,27,530,04285,567319,Korochi (CT),Urban," 4,088 "," 2,242 "," 1,583 "," 3,033 ", 40 , 206 , 180 ," 2,550 ", 191 ," 2,992 "," 1,357 ", 158 , 119 , 221 
HH4012,27,530,04285,567320,Kabnur (CT),Urban," 8,441 "," 4,692 "," 2,505 "," 6,211 ", 160 , 499 , 305 ," 5,242 ", 584 ," 5,843 "," 2,863 ", 418 , 406 , 527 
HH4012,27,530,04285,567321,Hupari (CT),Urban," 6,045 "," 3,467 "," 2,053 "," 3,972 ", 125 , 263 , 308 ," 3,429 ", 606 ," 2,506 "," 2,141 ", 595 , 251 , 799 
HH4012,27,530,04286,000000,Sub-District - Shirol,Total," 80,138 "," 57,929 "," 24,972 "," 49,466 "," 1,527 "," 4,591 "," 5,594 "," 41,496 "," 8,360 "," 52,335 "," 28,004 "," 4,046 "," 3,445 "," 8,413 "
HH4012,27,530,04286,000000,Sub-District - Shirol,Rural," 65,031 "," 47,191 "," 19,505 "," 38,331 ", 812 ," 3,106 "," 4,672 "," 32,971 "," 6,160 "," 43,672 "," 21,744 "," 2,683 "," 1,897 "," 7,146 "
HH4012,27,530,04286,000000,Sub-District - Shirol,Urban," 15,107 "," 10,738 "," 5,467 "," 11,135 ", 715 ," 1,485 ", 922 ," 8,525 "," 2,200 "," 8,663 "," 6,260 "," 1,363 "," 1,548 "," 1,267 "
HH4012,27,530,04286,802885,Jaysingpur (M Cl),Urban," 10,568 "," 7,402 "," 4,001 "," 8,142 ", 628 ," 1,205 ", 767 ," 5,936 "," 1,685 "," 5,840 "," 4,702 "," 1,113 "," 1,325 ", 785 
HH4012,27,530,04286,802886,Kurundvad (M Cl),Urban," 4,539 "," 3,336 "," 1,466 "," 2,993 ", 87 , 280 , 155 ," 2,589 ", 515 ," 2,823 "," 1,558 ", 250 , 223 , 482 
HH4012,27,530,04287,000000,Sub-District - Karvir,Total," 220,474 "," 175,890 "," 94,822 "," 170,488 "," 12,428 "," 21,578 "," 18,491 "," 131,505 "," 32,837 "," 102,976 "," 107,509 "," 22,947 "," 26,295 "," 14,402 "
HH4012,27,530,04287,000000,Sub-District - Karvir,Rural," 76,994 "," 62,014 "," 23,125 "," 48,777 "," 1,151 "," 2,912 "," 6,551 "," 41,245 "," 9,267 "," 39,426 "," 29,862 "," 3,941 "," 2,145 "," 8,837 "
HH4012,27,530,04287,000000,Sub-District - Karvir,Urban," 143,480 "," 113,876 "," 71,697 "," 121,711 "," 11,277 "," 18,666 "," 11,940 "," 90,260 "," 23,570 "," 63,550 "," 77,647 "," 19,006 "," 24,150 "," 5,565 "
HH4012,27,530,04287,802887,Kolhapur (M Corp.),Urban," 120,678 "," 96,638 "," 61,844 "," 103,015 "," 10,340 "," 16,581 "," 10,200 "," 74,762 "," 21,064 "," 53,253 "," 66,308 "," 16,925 "," 21,910 "," 4,622 "
HH4012,27,530,04287,567497,Ujalaiwadi (CT),Urban," 2,024 "," 1,690 ", 942 ," 1,740 ", 75 , 268 , 248 ," 1,345 ", 322 , 931 ," 1,206 ", 237 , 259 , 30 
HH4012,27,530,04287,567498,Gandhinagar (CT),Urban," 2,519 "," 1,819 ", 757 ," 2,230 ", 66 , 185 , 115 ," 1,816 ", 302 , 472 , 870 , 182 , 142 , 107 
HH4012,27,530,04287,567499,Uchgaon (CT),Urban," 6,625 "," 5,325 "," 2,693 "," 5,354 ", 187 , 433 , 614 ," 4,531 ", 452 ," 3,042 "," 3,270 ", 452 , 452 , 327 
HH4012,27,530,04287,567500,Pachgaon (CT),Urban," 4,704 "," 3,431 "," 2,404 "," 4,045 ", 288 , 668 , 348 ," 3,301 ", 598 ," 2,373 "," 2,782 ", 612 , 726 , 103 
HH4012,27,530,04287,567501,Morewadi (CT),Urban," 1,609 "," 1,406 ", 991 ," 1,467 ", 240 , 293 , 65 , 963 , 504 , 836 ," 1,206 ", 352 , 467 , 15 
HH4012,27,530,04287,567502,Gokul Shirgaon (CT),Urban," 1,924 "," 1,249 ", 718 ," 1,397 ", 32 , 78 , 86 ," 1,398 ", 107 , 809 , 661 , 87 , 57 , 120 
HH4012,27,530,04287,567503,Tamgaon (CT),Urban," 1,236 ", 688 , 377 , 733 , 14 , 36 , 67 , 717 , 23 , 624 , 333 , 28 , 25 , 144 
HH4012,27,530,04287,567504,Kalambe T. Thane (CT),Urban," 2,161 "," 1,630 ", 971 ," 1,730 ", 35 , 124 , 197 ," 1,427 ", 198 ," 1,210 "," 1,011 ", 131 , 112 , 97 
HH4012,27,530,04288,000000,Sub-District - Bavda,Total," 6,973 "," 6,143 "," 1,753 "," 2,365 ", 123 , 169 , 730 ," 2,511 ", 722 ," 1,846 "," 1,544 ", 225 , 126 ," 1,856 "
HH4012,27,530,04288,000000,Sub-District - Bavda,Rural," 6,973 "," 6,143 "," 1,753 "," 2,365 ", 123 , 169 , 730 ," 2,511 ", 722 ," 1,846 "," 1,544 ", 225 , 126 ," 1,856 "
HH4012,27,530,04288,000000,Sub-District - Bavda,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,530,04289,000000,Sub-District - Radhanagari,Total," 41,590 "," 36,946 "," 9,462 "," 19,239 ", 287 ," 1,378 "," 2,360 "," 21,016 "," 3,380 "," 12,985 "," 9,988 "," 1,323 ", 599 ," 9,151 "
HH4012,27,530,04289,000000,Sub-District - Radhanagari,Rural," 41,590 "," 36,946 "," 9,462 "," 19,239 ", 287 ," 1,378 "," 2,360 "," 21,016 "," 3,380 "," 12,985 "," 9,988 "," 1,323 ", 599 ," 9,151 "
HH4012,27,530,04289,000000,Sub-District - Radhanagari,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,530,04290,000000,Sub-District - Kagal,Total," 57,492 "," 46,286 "," 17,472 "," 30,828 "," 1,191 "," 2,674 "," 4,934 "," 28,338 "," 6,124 "," 29,362 "," 17,888 "," 2,599 "," 1,737 "," 8,167 "
HH4012,27,530,04290,000000,Sub-District - Kagal,Rural," 48,201 "," 39,492 "," 13,924 "," 24,204 ", 796 ," 1,926 "," 4,009 "," 23,005 "," 5,224 "," 25,191 "," 14,338 "," 1,856 ", 966 ," 7,331 "
HH4012,27,530,04290,000000,Sub-District - Kagal,Urban," 9,291 "," 6,794 "," 3,548 "," 6,624 ", 395 , 748 , 925 ," 5,333 ", 900 ," 4,171 "," 3,550 ", 743 , 771 , 836 
HH4012,27,530,04290,802888,Kagal (M Cl),Urban," 6,942 "," 5,031 "," 2,763 "," 4,996 ", 347 , 529 , 684 ," 4,042 ", 675 ," 2,845 "," 2,707 ", 588 , 623 , 634 
HH4012,27,530,04290,802889,Murgud (M Cl),Urban," 2,349 "," 1,763 ", 785 ," 1,628 ", 48 , 219 , 241 ," 1,291 ", 225 ," 1,326 ", 843 , 155 , 148 , 202 
HH4012,27,530,04291,000000,Sub-District - Bhudargad,Total," 33,445 "," 27,767 "," 7,595 "," 16,042 ", 337 ," 1,702 "," 2,845 "," 16,215 "," 3,674 "," 10,780 "," 7,210 "," 1,136 ", 630 ," 6,687 "
HH4012,27,530,04291,000000,Sub-District - Bhudargad,Rural," 33,445 "," 27,767 "," 7,595 "," 16,042 ", 337 ," 1,702 "," 2,845 "," 16,215 "," 3,674 "," 10,780 "," 7,210 "," 1,136 ", 630 ," 6,687 "
HH4012,27,530,04291,000000,Sub-District - Bhudargad,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,530,04292,000000,Sub-District - Ajra,Total," 29,090 "," 23,179 "," 5,849 "," 14,270 ", 421 ," 1,017 "," 2,572 "," 14,559 "," 2,645 "," 5,987 "," 5,385 ", 851 , 516 ," 6,041 "
HH4012,27,530,04292,000000,Sub-District - Ajra,Rural," 25,542 "," 20,363 "," 5,032 "," 12,085 ", 310 , 842 ," 2,272 "," 12,443 "," 2,148 "," 5,031 "," 4,198 ", 608 , 331 ," 5,667 "
